T(i,j):
global alignment

database sequence:	  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	
query sequence:
	1			472	-58	197	-12	-29	-37	-53	-41	-43	-60	
	2			-58	490	-57	-35	-68	-35	-24	-60	-29	-62	
	3			197	-57	481	21	-51	-66	-82	-47	-65	-55	
	4			-12	-35	21	478	-63	-54	-58	-54	-18	-65	
	5			-29	-68	-51	-63	495	-56	-48	-77	-26	-40	
	6			-37	-35	-66	-54	-56	473	57	-21	51	-52	
	7			-53	-24	-82	-58	-48	57	485	-16	254	-40	
	8			-41	-60	-47	-54	-77	-21	-16	455	-42	51	
	9			-43	-29	-65	-18	-26	51	254	-42	463	-5	
	10			-60	-62	-55	-65	-40	-52	-40	51	-5	455	
